,Attribute,Value
0,Beta (5Y Monthly),1.30
1,52-Week Change 3,3.00%
2,S&P500 52-Week Change 3,23.04%
3,52 Week High 3,52.28
4,52 Week Low 3,33.40
5,50-Day Moving Average 3,39.36
6,200-Day Moving Average 3,42.43
7,Avg Vol (3 month) 3,13.73M
8,Avg Vol (10 day) 3,10.25M
9,Shares Outstanding 5,640.01M
10,Implied Shares Outstanding 6,
11,Float 8,635.14M
12,% Held by Insiders 1,0.33%
13,% Held by Institutions 1,64.81%
14,"Shares Short (Dec 14, 2021) 4",22.09M
15,"Short Ratio (Dec 14, 2021) 4",1.3
16,"Short % of Float (Dec 14, 2021) 4",3.86%
17,"Short % of Shares Outstanding (Dec 14, 2021) 4",3.45%
18,"Shares Short (prior month Nov 14, 2021) 4",19.81M
19,Forward Annual Dividend Rate 4,
20,Forward Annual Dividend Yield 4,
21,Trailing Annual Dividend Rate 3,0.00
22,Trailing Annual Dividend Yield 3,0.01%
23,5 Year Average Dividend Yield 4,
24,Payout Ratio 4,0.00%
25,Dividend Date 3,"Mar 11, 2020"
26,Ex-Dividend Date 4,"Feb 18, 2020"
27,Last Split Factor 2,
28,Last Split Date 3,
29,Fiscal Year Ends,"Dec 30, 2020"
30,Most Recent Quarter (mrq),"Sep 29, 2021"
31,Profit Margin,-0.27%
32,Operating Margin (ttm),-17.44%
33,Return on Assets (ttm),-3.50%
34,Return on Equity (ttm),-2.25%
35,Revenue (ttm),24.4B
36,Revenue Per Share (ttm),38.37
37,Quarterly Revenue Growth (yoy),199.00%
38,Gross Profit (ttm),-3.9B
39,EBITDA,-2.59B
40,Net Income Avi to Common (ttm),-67M
41,Diluted EPS (ttm),-0.11
42,Quarterly Earnings Growth (yoy),
43,Total Cash (mrq),13.2B
44,Total Cash Per Share (mrq),20.7
45,Total Debt (mrq),35.3B
46,Total Debt/Equity (mrq),1354.45
47,Current Ratio (mrq),0.83
48,Book Value Per Share (mrq),4.09
49,Operating Cash Flow (ttm),1.42B
50,Levered Free Cash Flow (ttm),-748.25M
