,Attribute,Value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,125.61%
2,S&P500 52-Week Change 3,29.13%
3,52 Week High 3,346.47
4,52 Week Low 3,115.67
5,50-Day Moving Average 3,291.52
6,200-Day Moving Average 3,209.96
7,Avg Vol (3 month) 3,42.47M
8,Avg Vol (10 day) 3,46.21M
9,Shares Outstanding 5,2.49B
10,Implied Shares Outstanding 6,
11,Float 8,2.4B
12,% Held by Insiders 1,4.08%
13,% Held by Institutions 1,66.86%
14,"Shares Short (Dec 14, 2021) 4",23.37M
15,"Short Ratio (Dec 14, 2021) 4",0.44
16,"Short % of Float (Dec 14, 2021) 4",0.97%
17,"Short % of Shares Outstanding (Dec 14, 2021) 4",0.94%
18,"Shares Short (prior month Nov 14, 2021) 4",24.15M
19,Forward Annual Dividend Rate 4,0.16
20,Forward Annual Dividend Yield 4,0.05%
21,Trailing Annual Dividend Rate 3,0.16
22,Trailing Annual Dividend Yield 3,0.05%
23,5 Year Average Dividend Yield 4,0.26
24,Payout Ratio 4,4.93%
25,Dividend Date 3,"Dec 22, 2021"
26,Ex-Dividend Date 4,"Nov 30, 2021"
27,Last Split Factor 2,4:1
28,Last Split Date 3,"Jul 19, 2021"
29,Fiscal Year Ends,"Jan 30, 2021"
30,Most Recent Quarter (mrq),"Oct 30, 2021"
31,Profit Margin,33.81%
32,Operating Margin (ttm),35.45%
33,Return on Assets (ttm),15.93%
34,Return on Equity (ttm),41.94%
35,Revenue (ttm),24.27B
36,Revenue Per Share (ttm),9.75
37,Quarterly Revenue Growth (yoy),50.30%
38,Gross Profit (ttm),10.56B
39,EBITDA,9.76B
40,Net Income Avi to Common (ttm),8.21B
41,Diluted EPS (ttm),3.24
42,Quarterly Earnings Growth (yoy),84.40%
43,Total Cash (mrq),19.3B
44,Total Cash Per Share (mrq),7.72
45,Total Debt (mrq),11.83B
46,Total Debt/Equity (mrq),49.70
47,Current Ratio (mrq),7.14
48,Book Value Per Share (mrq),9.51
49,Operating Cash Flow (ttm),8.14B
50,Levered Free Cash Flow (ttm),5.94B
